,Unnamed: 0,date,text,VADER score
0,3,2019-09-17 15:08:00,"BREAKING : Half of crude oil production restored at facilities hit in weekend attack, Saudi energy minister says. http:// apne.ws/I9igq5j",-0.5106
3,50,2019-09-12 12:24:00,BREAKING NEWS - #UJO #WESTNEWTON PLANNING APPROVED FOR 199 TONNES ONSITE STORAGE CRUDE OIL . VIVA #UJO pic.twitter.com/1DlygjKuab,-0.2263
1,12,2019-09-16 09:31:00,"BREAKING : Brent crude oil surges more than 17%, WTI crude oil surges more than 14% after attack on Saudi oil facility cut production over the weekend http:// cnbc.com/id/106130682 pic.twitter.com/DQWun1L6wO",-0.9118
2,45,2019-09-16 09:31:00,BREAKING : Trump warns U.S. is “locked and loaded” for a response to the “culprit” of this weekend’s attack on Saudi oil field http:// cnbc.com/id/106130682,-0.5423
4,62,2019-09-16 09:31:00,"BREAKING : Brent crude oil surges more than 17%, WTI crude oil surges more than 14% after attack on Saudi oil facility cut production over the weekend - CNBC",-0.9118
6,86,2019-08-19 09:31:00,"BREAKING : ADRIAN DARYA I, the Iranian VLCC supertanker fully laden with 2.1 million barrels of Iranian light crude oil and formerly known as the Panamanian-flagged GRACE 1, has now departed UK/Gibraltar waters for Spanish waters. pic.twitter.com/oyZn5GQk0q",-0.0431
7,87,2019-08-19 09:31:00,"BREAKING : Iranian supertanker hauling $130M of light crude oil that the U.S. suspects to be tied to a sanctioned organization has begun sailing away from Gibraltar, marine traffic monitoring data shows. http:// apne.ws/buvSisr",-0.7269
5,82,2019-08-26 09:31:00,BREAKING : Crude oil price falls by 2.5% amid trade war escalation,-0.8225
