,date,variation,Time,VADER score,favorites,weekday,date_backup
60,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,-0.3818,1,6,2019-10-27 05:46:00
61,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,0.3612,1,6,2019-10-27 05:35:00
62,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,-0.6597,3,6,2019-10-27 05:22:00
63,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,0.5859,5,6,2019-10-27 04:52:00
64,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,0.5994,2,6,2019-10-27 04:49:00
65,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,0.0,1,6,2019-10-27 04:36:00
66,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,-0.3328,3,6,2019-10-27 04:32:00
67,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,0.3612,1,6,2019-10-27 04:27:00
68,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,0.3612,21,6,2019-10-27 04:17:00
69,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,0.7506,9,6,2019-10-27 03:50:00
70,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,0.5267,34,6,2019-10-27 03:48:00
71,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,-0.1027,136,6,2019-10-27 03:43:00
72,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,0.4464,13,6,2019-10-27 03:12:00
73,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,0.5319,1,6,2019-10-27 03:09:00
74,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,0.0,1,6,2019-10-27 02:47:00
75,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,-0.8245,1,6,2019-10-27 02:06:00
76,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,0.3164,1,6,2019-10-27 01:14:00
77,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,0.0,2,6,2019-10-27 00:53:00
78,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,0.0935,4,6,2019-10-27 00:48:00
79,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,-0.1083,1,6,2019-10-27 00:36:00
80,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,-0.6486,1,6,2019-10-27 00:30:00
81,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,0.7506,9,6,2019-10-27 03:50:00
82,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,0.5267,34,6,2019-10-27 03:48:00
83,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,-0.1027,136,6,2019-10-27 03:43:00
84,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,0.0,1,5,2019-10-26 08:37:00
85,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,0.0258,1,5,2019-10-26 07:41:00
86,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,0.0,2,5,2019-10-26 07:13:00
