username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
BobA1959;2019-09-16 15:37;8;7;"Brent crude oil spikes the most in history after Saudi attacks. What’s going to bankrupt us first gas taxes or tariffs? https://www. cnbc.com/2019/09/15/us- crude-oil-jumps-15percent-after-drone-strikes-disrupt-saudi-crude-production.html?__source=iosappshare%7Ccom.atebits.Tweetie2.ShareExtension …";;;;"1173667116249178112";https://twitter.com/BobA1959/status/1173667116249178112
ISABELNET_SA;2019-09-16 11:32;3;10;"Global Impact of Rising Oil Prices This nice chart shows the global impact of rising oil prices on GDP and inflation https://www. isabelnet.com/?s=oil h/t @john_payne7 #worldeconomy #economy #oott #inflation #cpi #GDP #worldgdp #oil #oilprice #wti #crudeoil #oilandgas #brent pic.twitter.com/EozSl0fIp8";;@john_payne7;#worldeconomy #economy #oott #inflation #cpi #GDP #worldgdp #oil #oilprice #wti #crudeoil #oilandgas #brent;"1173605584253444096";https://twitter.com/ISABELNET_SA/status/1173605584253444096
CNBC;2019-09-16 10:14;26;25;"Brent crude oil spikes the most in history after Saudi attacks, last up 10%. https:// cnb.cx/30pg81c pic.twitter.com/uPKcs7KyUt";;;;"1173585951244861441";https://twitter.com/CNBC/status/1173585951244861441
WtiOil;2019-09-16 09:31;10;6;"Today's Crude Oil Prices: WTI: $60.37 (+5.55) Brent : $66.66 (+6.41) #crude #crudeoil #company";;;#crude #crudeoil #company;"1173575009060773888";https://twitter.com/WtiOil/status/1173575009060773888
ISABELNET_SA;2019-09-16 09:17;4;11;"Major Oil Supply Disruptions As a reminder, disruptions in the oil market have always led to higher oil prices https://www. isabelnet.com/?s=oil h/t @tracyalloway #markets #oilprice #wti #crudeoil #oilandgas #brent #OPEC #oott #SaudiArabia pic.twitter.com/OC6QNdZxwX";;@tracyalloway;#markets #oilprice #wti #crudeoil #oilandgas #brent #OPEC #oott #SaudiArabia;"1173571629844258817";https://twitter.com/ISABELNET_SA/status/1173571629844258817
Fx_Junkies;2019-09-16 08:34;7;14;"Michael Walters on #UnionJackOil : "The billion dollar well.....Do not consider selling yet. If you are not aboard, re-read the figures.." #oil #crudeoil #wti #brent #gas #CL_F #aim #trading #investing #UJO https:// twitter.com/UnionJackOil/s tatus/1173507825483603968 …";;;#UnionJackOil #oil #crudeoil #wti #brent #gas #CL_F #aim #trading #investing #UJO;"1173560722028224512";https://twitter.com/Fx_Junkies/status/1173560722028224512
mari_saita;2019-09-16 06:48;1;5;"サウジアラビア、5.7M bbl/dayすなわち世界供給の5%を喪失、 Brent は一時$71までジャンプ。 供給サイドの波乱は価格影響が小さくなってるとはいえ、これは規模が違う。 Crude Oil Prices Surge Most Ever After Attack Cuts Saudi Supplies - Bloomberg https://www. bloomberg.com/news/articles/ 2019-09-15/oil-prices-jump-19-after-attack-cuts-saudi-arabian-supplies …";;;;"1173534065745522688";https://twitter.com/mari_saita/status/1173534065745522688
Patricia_Energy;2019-09-16 03:52;7;8;""The single worst sudden disruption ever, surpassing the loss of #Kuwaiti and #Iraqi petroleum supply in August 1990" - ' Brent crude oil prices surge as #Saudi Arabia struggles to restore production after Houthi drone attack' https://www. telegraph.co.uk/business/2019/ 09/16/brent-crude-oil-prices-surge-19pc-saudi-arabia-struggles-restore/ … #OOTT #energy";;;#Kuwaiti #Iraqi #Saudi #OOTT #energy;"1173489939423649792";https://twitter.com/Patricia_Energy/status/1173489939423649792
truemagic68;2019-09-16 02:02;3;15;"Saudi Arabian oilfield attacks sses the price of crude oil rocket like a 'grilse' - WTI CRUDE +8.95% and BRENT + 10.10% to $66.30 for October delivery at 6.02am";;;;"1173462097071681536";https://twitter.com/truemagic68/status/1173462097071681536
AsimAli6;2019-09-16 01:59;1;6;"" Brent crude oil , the international benchmark, gained almost $12 a barrel to trade as high as $71.95 a barrel, before easing back to $66.37". One of the biggest single day oil price spike. https:// twitter.com/business/statu s/1173456685966528512 …";;;;"1173461296651464704";https://twitter.com/AsimAli6/status/1173461296651464704
AlexInAir;2019-09-16 01:48;8;10;"Latest: Brent crude oil price soared almost 20% last night following the drone strikes on Saudi oil installations — a temporary reaction, but significant for airlines if the outage were to last several weeks pic.twitter.com/GcVFsjUBA3";;;;"1173458664709079040";https://twitter.com/AlexInAir/status/1173458664709079040
manoj_indore;2019-09-16 01:15;0;9;"Breaking News: Oil prices surged more than 10 percent Monday after attacks on two Saudi Arabian plants that slashed output in the world's top producer by half, with Donald Trump blaming Iran and raising the possibility of a military strike on the country. Brent $67.31 #CrudeOil";;;#CrudeOil;"1173450250205331456";https://twitter.com/manoj_indore/status/1173450250205331456
DiariesPolar;2019-09-16 00:29;5;5;"Brent crude oil "exploded some 20% higher, to a high of $71.95 from the Friday $60.22 close, its biggest jump since futures started trading in 1988." #oilprice https://www. zerohedge.com/commodities/oi l-explodes-19-higher-biggest-jump-28-years …";;;#oilprice;"1173438698072838144";https://twitter.com/DiariesPolar/status/1173438698072838144
PlattsOil;2019-09-15 23:28;6;7;"Oil futures: #Brent , #NYMEX futures climb despite stock release plans after Abqaiq attack | http:// plts.co/kLSQ50waXMj Benchmark #Dubai futures timespreads surge past $1/b post Saudi attacks | http:// plts.co/x1Pf50waXMk #OOTT #crudeoil #SaudiArabia pic.twitter.com/8WdQeukN6D";;;#Brent #NYMEX #Dubai #OOTT #crudeoil #SaudiArabia;"1173423277647306752";https://twitter.com/PlattsOil/status/1173423277647306752
piyushchaudhry;2019-09-15 23:09;2;15;"#Brent #CrudeOil @67 The larger structure of the pattern had been calling for a bounce since last Month, but I must admit that the finer nuances of this pattern have been somewhat tough to comprehend. https:// twitter.com/piyushchaudhry /status/1161317068458774528 …";;@67;#Brent #CrudeOil;"1173418716630925312";https://twitter.com/piyushchaudhry/status/1173418716630925312
farnazfassihi;2019-09-15 22:41;12;13;"Brent crude oil price jumps more than ever on record reaction to #SaudiArabia attacks, says @BBCNews";;@BBCNews;#SaudiArabia;"1173411455573663744";https://twitter.com/farnazfassihi/status/1173411455573663744
IntelDoge;2019-09-15 22:18;18;13;"#Brent crude oil has risen 20% https:// twitter.com/SkyNewsArabia_ B/status/1173405477058863104 …";;;#Brent;"1173405657049042944";https://twitter.com/IntelDoge/status/1173405657049042944
DaveTaylorNews;2019-09-15 21:58;3;7;"WOW. AGAIN, WOW. Brent crude oil up $12 in the first few seconds of trade (18% price spike). BIGGEST OIL PRICE GAIN SINCE 1988. What does it mean for you?? More to come on #abcTWT @abcnews @RadioNational @abcsydney #oilprice #ausbiz";;@abcnews @RadioNational @abcsydney;#abcTWT #oilprice #ausbiz;"1173400689143205890";https://twitter.com/DaveTaylorNews/status/1173400689143205890
KevweIbodje;2019-09-15 21:49;0;0;"Oil prices for now won't be qualitative as long as most nations see this Saudi attack as an opportunity to offer 'geopolitical discounts' rather than at premium #Brent #crudeoil #oilprice";;;#Brent #crudeoil #oilprice;"1173398444444147712";https://twitter.com/KevweIbodje/status/1173398444444147712
