date,1. open,2. high,3. low,4. close,5. volume
2019-08-12 09:31:00,11.25,11.27,11.24,11.27,69549.0
2019-08-12 09:32:00,11.27,11.27,11.24,11.25,18126.0
2019-08-12 09:33:00,11.25,11.25,11.23,11.24,9618.0
2019-08-12 09:34:00,11.24,11.24,11.23,11.24,160859.0
2019-08-12 09:35:00,11.235,11.235,11.19,11.19,76438.0
2019-08-12 09:36:00,11.195,11.21,11.19,11.205,37330.0
2019-08-12 09:37:00,11.205,11.24,11.2,11.24,58611.0
2019-08-12 09:39:00,11.255,11.265,11.25,11.255,197314.0
2019-08-12 09:40:00,11.26,11.275,11.255,11.26,60143.0
2019-08-12 09:41:00,11.255,11.275,11.25,11.27,61141.0
2019-08-12 09:42:00,11.265,11.3036,11.265,11.3,54883.0
2019-08-12 09:43:00,11.305,11.32,11.28,11.29,32936.0
2019-08-12 09:44:00,11.285,11.3,11.285,11.29,11879.0
2019-08-12 09:45:00,11.295,11.3,11.28,11.295,71420.0
2019-08-12 09:46:00,11.29,11.31,11.28,11.305,145699.0
2019-08-12 09:47:00,11.3,11.32,11.3,11.315,61258.0
2019-08-12 09:48:00,11.315,11.335,11.305,11.335,85543.0
2019-08-12 09:49:00,11.335,11.35,11.32,11.345,16210.0
2019-08-12 09:50:00,11.35,11.38,11.34,11.37,73490.0
2019-08-12 09:51:00,11.365,11.385,11.365,11.37,42940.0
2019-08-12 09:52:00,11.36,11.385,11.3503,11.37,154197.0
2019-08-12 09:53:00,11.37,11.375,11.355,11.36,29577.0
2019-08-12 09:54:00,11.36,11.37,11.355,11.37,17991.0
2019-08-12 09:55:00,11.37,11.385,11.36,11.38,49039.0
2019-08-12 09:56:00,11.38,11.41,11.38,11.405,69009.0
2019-08-12 09:57:00,11.41,11.4157,11.4,11.41,59021.0
2019-08-12 09:58:00,11.405,11.435,11.405,11.405,64266.0
2019-08-12 09:59:00,11.41,11.41,11.39,11.4,14602.0
2019-08-12 10:00:00,11.4,11.4,11.39,11.395,16821.0
2019-08-12 10:01:00,11.4,11.4,11.375,11.38,34249.0
2019-08-12 10:02:00,11.38,11.41,11.38,11.41,94117.0
2019-08-12 10:03:00,11.405,11.41,11.4,11.405,65197.0
2019-08-12 10:04:00,11.4,11.405,11.39,11.4,67656.0
2019-08-12 10:05:00,11.4,11.4,11.39,11.395,11594.0
2019-08-12 10:06:00,11.39,11.39,11.36,11.37,36351.0
2019-08-12 10:07:00,11.38,11.38,11.36,11.365,51248.0
2019-08-12 10:08:00,11.36,11.39,11.36,11.39,126418.0
2019-08-12 10:09:00,11.385,11.39,11.38,11.385,17647.0
2019-08-12 10:10:00,11.39,11.4,11.38,11.38,43856.0
2019-08-12 10:11:00,11.385,11.39,11.375,11.385,36710.0
2019-08-12 10:12:00,11.38,11.39,11.38,11.385,61237.0
2019-08-12 10:13:00,11.39,11.39,11.375,11.38,33845.0
2019-08-12 10:14:00,11.375,11.39,11.37,11.375,131112.0
2019-08-12 10:15:00,11.375,11.39,11.37,11.38,55320.0
2019-08-12 10:16:00,11.39,11.39,11.36,11.36,68503.0
2019-08-12 10:17:00,11.365,11.37,11.355,11.369,22117.0
2019-08-12 10:18:00,11.365,11.37,11.36,11.37,11412.0
2019-08-12 10:19:00,11.365,11.38,11.36,11.37,42021.0
2019-08-12 10:20:00,11.37,11.375,11.365,11.37,40728.0
2019-08-12 10:21:00,11.38,11.38,11.365,11.37,20697.0
2019-08-12 10:22:00,11.37,11.39,11.37,11.385,35571.0
2019-08-12 10:23:00,11.38,11.385,11.37,11.385,12900.0
2019-08-12 10:24:00,11.38,11.39,11.375,11.38,72755.0
2019-08-12 10:25:00,11.37,11.38,11.37,11.38,8456.0
2019-08-12 10:26:00,11.38,11.39,11.37,11.375,104200.0
2019-08-12 10:27:00,11.375,11.375,11.36,11.36,17162.0
2019-08-12 10:28:00,11.36,11.3696,11.355,11.36,35589.0
2019-08-12 10:29:00,11.36,11.36,11.34,11.34,44097.0
2019-08-12 10:30:00,11.34,11.34,11.33,11.335,24077.0
2019-08-12 10:31:00,11.33,11.34,11.325,11.325,61666.0
2019-08-12 10:32:00,11.325,11.325,11.31,11.315,27696.0
