date,1. open,2. high,3. low,4. close,5. volume
2019-08-12 09:31:00,3.23,3.23,3.2,3.21,79858.0
2019-08-12 09:32:00,3.2,3.2,3.1943,3.1943,13993.0
2019-08-12 09:33:00,3.192,3.195,3.19,3.19,24291.0
2019-08-12 09:34:00,3.19,3.19,3.185,3.19,11207.0
2019-08-12 09:35:00,3.19,3.19,3.175,3.181,88567.0
2019-08-12 09:37:00,3.1801,3.1801,3.1801,3.1801,146.0
2019-08-12 09:38:00,3.19,3.19,3.185,3.185,15422.0
2019-08-12 09:39:00,3.18,3.185,3.18,3.185,15925.0
2019-08-12 09:40:00,3.185,3.2,3.18,3.1844,284724.0
2019-08-12 09:41:00,3.19,3.19,3.17,3.1769,66867.0
2019-08-12 09:42:00,3.18,3.19,3.18,3.185,42256.0
2019-08-12 09:43:00,3.19,3.195,3.19,3.19,55895.0
2019-08-12 09:44:00,3.19,3.195,3.19,3.19,2310.0
2019-08-12 09:45:00,3.1911,3.1911,3.19,3.19,9604.0
2019-08-12 09:46:00,3.19,3.195,3.19,3.19,102913.0
2019-08-12 09:47:00,3.19,3.195,3.19,3.195,1221.0
2019-08-12 09:48:00,3.19,3.195,3.19,3.195,1110.0
2019-08-12 09:49:00,3.19,3.195,3.18,3.195,58715.0
2019-08-12 09:50:00,3.2,3.207,3.19,3.2,43877.0
2019-08-12 09:51:00,3.2,3.2,3.19,3.2,28906.0
2019-08-12 09:52:00,3.195,3.21,3.195,3.21,56495.0
2019-08-12 09:53:00,3.21,3.21,3.2,3.205,2327.0
2019-08-12 09:54:00,3.205,3.205,3.2,3.205,1600.0
2019-08-12 09:55:00,3.2,3.21,3.2,3.21,6001.0
2019-08-12 09:56:00,3.21,3.215,3.205,3.215,40910.0
2019-08-12 09:57:00,3.21,3.215,3.2,3.215,61189.0
2019-08-12 09:58:00,3.215,3.215,3.21,3.21,2000.0
2019-08-12 09:59:00,3.21,3.215,3.21,3.215,1372.0
2019-08-12 10:00:00,3.215,3.215,3.21,3.21,2214.0
2019-08-12 10:01:00,3.21,3.22,3.21,3.215,2313.0
2019-08-12 10:02:00,3.22,3.23,3.21,3.22,146305.0
2019-08-12 10:03:00,3.22,3.23,3.22,3.22,3660.0
2019-08-12 10:04:00,3.22,3.23,3.21,3.22,99342.0
2019-08-12 10:05:00,3.22,3.22,3.22,3.22,600.0
2019-08-12 10:06:00,3.22,3.225,3.21,3.21,48881.0
2019-08-12 10:07:00,3.215,3.215,3.21,3.21,19053.0
2019-08-12 10:08:00,3.21,3.215,3.21,3.215,42701.0
2019-08-12 10:09:00,3.215,3.215,3.21,3.215,2016.0
2019-08-12 10:10:00,3.215,3.215,3.21,3.21,1110.0
2019-08-12 10:11:00,3.21,3.215,3.21,3.215,1129.0
2019-08-12 10:12:00,3.215,3.22,3.215,3.215,24044.0
2019-08-12 10:13:00,3.215,3.215,3.21,3.21,65305.0
2019-08-12 10:14:00,3.2153,3.2153,3.21,3.215,10998.0
2019-08-12 10:15:00,3.21,3.215,3.19,3.2,862125.0
2019-08-12 10:16:00,3.2,3.2001,3.19,3.195,186975.0
2019-08-12 10:17:00,3.2,3.2,3.19,3.195,30392.0
2019-08-12 10:18:00,3.2,3.2,3.195,3.195,15049.0
2019-08-12 10:19:00,3.195,3.2,3.195,3.195,710.0
2019-08-12 10:20:00,3.195,3.2,3.195,3.2,1914.0
