username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
business;2018-04-09 23:00;15;22;"Global iron ore miners have turned off the tap on adding new production capacity to feed China’s steel mills https:// bloom.bg/2qhXsQQ pic.twitter.com/PzWt5YHKOO";;;;"983525115131506688";https://twitter.com/business/status/983525115131506688
jayasartn;2018-04-09 08:34;14;22;"Iron ore mines in Western Ghats mentioned in Valmiki Ramayana. So wrong to say that iron smelting was introduced by migrating Aryans. https:// jayasreesaranathan.blogspot.in/2018/04/southe rn-madurai-of-1st-tamil-sangam.html … pic.twitter.com/bFpjBNND4j";;;;"983307062116405248";https://twitter.com/jayasartn/status/983307062116405248
business;2018-04-09 03:30;13;16;"China's decade-long hunger for iron ore is about to level off https:// bloom.bg/2qi0ggR pic.twitter.com/nvF9neYiXD";;;;"983230597433905152";https://twitter.com/business/status/983230597433905152
baijendra;2018-04-08 22:28;47;69;"#NMDC makes all time record SALES of 36.1MT IRON ORE in FY 17-18. The highest ever sales since NMDC’s inception 60 years ago.Congratulations to all NMDCians for this stellar performance. @nmdclimited @ChBirenderSingh @SteelMinIndia @PMOIndia @narendramodi @NITIAayog @OAKIRANDUL";;@nmdclimited @ChBirenderSingh @SteelMinIndia @PMOIndia @narendramodi @NITIAayog @OAKIRANDUL;#NMDC;"983154649044664320";https://twitter.com/baijendra/status/983154649044664320
amlivemon;2018-04-07 19:04;7;14;"Under Fox, Mexico spiraled into chaos with cartels taking over large swaths of northern and coastal territory. Iron ore and oil was stolen and sold off, cartel murders jumped 1000%... https:// twitter.com/thehill/status /982729001197363200 …";;;;"982741035381088257";https://twitter.com/amlivemon/status/982741035381088257
jimgaynor;2018-04-06 20:15;6;52;"Most of Japan's iron came from iron sands, not mined ore. In 1932, Japan's estimated total iron ore reserves were 40-80 million tons. That's less than was mined in the US in a single year at the time. Access to resources was a large driver of pre-WWII Japanese expansion/conquest.";;;;"982396376947412993";https://twitter.com/jimgaynor/status/982396376947412993
KeithMcCullough;2018-04-06 08:14;5;18;"Copper, Aluminum, Iron Ore , etc. prices are down because China is slowing post the PBOC's epic 2016-2017 stimulus https:// twitter.com/realDonaldTrum p/status/982214297160839173 …";;;;"982214880596914176";https://twitter.com/KeithMcCullough/status/982214880596914176
DoC_GoI;2018-04-06 00:20;51;125;"India is the 4th largest rail freight carrier in the world. Major commodities carried by Indian Railways are coal, iron ore , food grains, iron & steel, fertilizer, cement and Petroleum products. #ChampionServicesofIndia #GLS2018 @makeinindia pic.twitter.com/AtqnfpTtAo";;@makeinindia;#ChampionServicesofIndia #GLS2018;"982095644742438913";https://twitter.com/DoC_GoI/status/982095644742438913
prudentgoa;2018-04-04 04:00;17;21;"Big relief for Miners & iron ore traders in Goa, Apex Court stays High Court's order stopping ore transportation in Goa, interim order over Sesa-Vedanta's SLP, transportation of ore lying at the jetties and in barges allowed";;;;"981426151968165888";https://twitter.com/prudentgoa/status/981426151968165888
odisha_mining;2018-04-04 00:42;7;26;"OMC recorded all-time high iron ore production of 79.20 lakh tones driven by improved productivity. Corporation continues to register remarkable growth over last three years & strives to achieve future expansions based on sustainable & strategic business growth #MiningInOdisha pic.twitter.com/TWjmNU4Zvu";;;#MiningInOdisha;"981376542977679361";https://twitter.com/odisha_mining/status/981376542977679361
RealTimeWWII;2018-04-01 09:47;31;135;"Berlin warning that "Germany will take suitable counter-measures" if the Allies threaten neutral shipping- ie. iron ore shipped via Norway.";;;;"980426309963743233";https://twitter.com/RealTimeWWII/status/980426309963743233
meeramohanty;2018-03-31 04:53;20;26;"Has #Odisha been renewing mining rights to the state's largest iron ore mine without knowing who it is extending it too...in possible violation of mining rules? Leader of Opposition question the latest extension. My story in ET http:// ecoti.in/-zIuwa @economictimes #mining";;@economictimes;#Odisha #mining;"979990076120711168";https://twitter.com/meeramohanty/status/979990076120711168
the_hindu;2018-03-30 15:30;7;23;"Vedanta Resources to record an impairment charge of up to $600 million following the closure of its iron ore business in Goa. #Goa https:// trib.al/yGEp6md";;;#Goa;"979787864799109121";https://twitter.com/the_hindu/status/979787864799109121
Yaabubiin;2018-03-28 18:15;4;13;"A private WA group backed by indigenous contractor Carey Mining is raising up to $35 million to develop the country’s first Aboriginal-owned iron ore mine in the Pilbara. https:// buff.ly/2Gz0gmV pic.twitter.com/ErNkYKmBhE";;;;"979104633116413952";https://twitter.com/Yaabubiin/status/979104633116413952
chigrl;2018-03-28 03:34;10;20;">Copper and Iron ore have declined c.10% ytd pic.twitter.com/tkTwqg4fp9";;;;"978883015303626752";https://twitter.com/chigrl/status/978883015303626752
ETNOWlive;2018-03-28 01:25;45;65;"#CorporateView | Expect domestic iron ore prices to come down; No impact of softening global steel prices witnessed in Q4, says Naushad A Ansari of @JSPLCorporate @nikunjdalmia @ayeshafaridi1 pic.twitter.com/Dtfwc9yjhF";;@JSPLCorporate @nikunjdalmia @ayeshafaridi1;#CorporateView;"978850443991363591";https://twitter.com/ETNOWlive/status/978850443991363591
RealTimeWWII;2018-03-24 21:20;31;142;"UK hopes to strangle the German economy, cutting off oil from Romania & the USSR, & blockading iron ore from Sweden. Lord Halifax tells British cabinet this blockade will end the war in "2-3 years".";;;;"977701742828761088";https://twitter.com/RealTimeWWII/status/977701742828761088
RealTimeWWII;2018-03-24 13:38;54;209;"British submarines, ranging deep into supposedly safe waters of Baltic, have sunk 2 German cargo ships in as many days, both loaded with Norwegian iron ore . pic.twitter.com/V0CQatVlw1";;;;"977585557202259974";https://twitter.com/RealTimeWWII/status/977585557202259974
PDChina;2018-03-23 10:03;32;88;"China delivers world's largest ore carrier for transporting iron ore between #Brazil and #China ; The 400,000-tonne carrier has a carrying capacity equivalent to 6,666 freight train carriages. pic.twitter.com/kc8YxY9cA6";;;#Brazil #China;"977169063343407104";https://twitter.com/PDChina/status/977169063343407104
edelmetall_typ;2018-03-23 07:16;0;0;"Altius erhöht Anteile an Alderon Iron Ore auf 39% http:// bit.ly/2IIyq5Y";;;;"977126954318082048";https://twitter.com/edelmetall_typ/status/977126954318082048
simonting;2018-03-23 03:20;12;22;"DCE IRON ORE IS NOW TRADING AT LIMIT DOWN -8% 430.5 YUAN, 16K LOT BIDDING...";;;;"977067522330472448";https://twitter.com/simonting/status/977067522330472448
