,username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
17,mpondfield,2019-08-12 21:38,1,1,"This time is a bit different…"" http:// bit.ly/2ZZfRma #OPEC #SaudiArabia #Geopolitics #rumors #oil #shale #economics #EconomicGrowth #economy #TradeWar #strategy #energy #production #oilprices #markets #oilandgas #crudeoil #natgas #LNG #RBOB #CL_F #Brent #WTI #OOTT""",,,#OPEC #SaudiArabia #Geopolitics #rumors #oil #shale #economics #EconomicGrowth #economy #TradeWar #strategy #energy #production #oilprices #markets #oilandgas #crudeoil #natgas #LNG #RBOB #CL_F #Brent #WTI #OOTT,1161074537645191168,https://twitter.com/mpondfield/status/1161074537645191168
18,vas_georgiadis,2019-08-13 19:15,1,0,#Gold #silver #copper #crude #oil #WTI #brent #natural #gas #gasoline #commodities pic.twitter.com/cDQ9tqv4iu,,,#Gold #silver #copper #crude #oil #WTI #brent #natural #gas #gasoline #commodities,1161400864726224899,https://twitter.com/vas_georgiadis/status/1161400864726224899
19,sklee1086,2019-08-13 14:18,0,0,"Copper rose after slumping in recent weeks on trade tensions. Brent crude oil gained more than 4%. Caterpillar shares, which have been a bellwether for trade talks, jumped 2.8%.",,,,1161326182324768769,https://twitter.com/sklee1086/status/1161326182324768769
20,Breaking24Seven,2019-08-13 13:57,1,0,"Oil extends gains, Brent soars nearly 5% after US delays some China tariffs #OOTT #crudeoil $ BRN https:// breakingthenews.net/Article/Brent- soars-nearly-5-on-US-China-trade-optimism/49126556 …",,,#OOTT #crudeoil,1161320827322871808,https://twitter.com/Breaking24Seven/status/1161320827322871808
21,NRT_English,2019-08-13 13:07,0,0,Crude oil prices (August 13) http://www. nrttv.com/En/News.aspx?i d=14447&MapID=5 … #NRTnews #Brent #WTI pic.twitter.com/nh6LT2QrAM,,,#NRTnews #Brent #WTI,1161308177654140930,https://twitter.com/NRT_English/status/1161308177654140930
22,SDouraya,2019-08-13 12:52,1,5,Today's Crude Oil Prices: WTI: $56.77 (+1.84) Brent : $60.58 (+2.01),,,,1161304485563518977,https://twitter.com/SDouraya/status/1161304485563518977
23,GrunikM,2019-08-13 12:49,0,0,OIL - #WTI September futures contract was 10 cents/b (0.18%) lower at 03:15 GMT. - #Brent October futures were down 16 cents/b (0.27%) - Japan imported around 27 million barrels of crude oil in June 2019 from the United Arab Emirates. #OOTT #CrudeOil pic.twitter.com/W4efkyxF46,,,#WTI #Brent #OOTT #CrudeOil,1161303729821425669,https://twitter.com/GrunikM/status/1161303729821425669
24,alfcenteno,2019-08-13 11:23,0,0,"#Petrol #Oil #Brent #CrudeOil Alcanza la zona superior del sistema máx desv. sobre vwap entre 56.50 - 57.50, coincide con zona de resistencia, por lo que podría ser un buen nivel de venta, buscando una corrección hacia los 55 en el c/p Cortos en 56.50 (hechos) - 56.95 - 57.30 pic.twitter.com/iqXPLJU98A",,,#Petrol #Oil #Brent #CrudeOil,1161282065582764033,https://twitter.com/alfcenteno/status/1161282065582764033
25,DTradingAcademy,2019-08-13 11:12,0,0,"Crude oil futures higher for September/October, on Tuesday in mid-morning trading, on OPEC moves led by Saudi Arabia towards output cuts & news of new China/U.S. trade talks. $ WTI _Crude (U.S.) +2.84% at $56.49, $ NBZ_F ( Brent ) +3.04% at $60.35, $ USO +2.73% at $11.67 on 08/13/2019.",,,,1161279324407894016,https://twitter.com/DTradingAcademy/status/1161279324407894016
26,forexoilfort,2019-08-13 09:07,0,0,U.S. solar module imports partially recover after tariffs were imposed in early 2018 https:// ift.tt/2YLtNDY | #oil #crudeoil #brentoil #forex #fx #trading #trade #livetradenews #brent #wti #crude,,,#oil #crudeoil #brentoil #forex #fx #trading #trade #livetradenews #brent #wti #crude,1161248006903160833,https://twitter.com/forexoilfort/status/1161248006903160833
27,forexoilfort,2019-08-13 08:20,0,0,Norwegian Field Gets New Life https:// ift.tt/2P9I0pZ | #oil #crudeoil #brentoil #forex #fx #trading #trade #livetradenews #brent #wti #crude,,,#oil #crudeoil #brentoil #forex #fx #trading #trade #livetradenews #brent #wti #crude,1161236135265406977,https://twitter.com/forexoilfort/status/1161236135265406977
28,trader_blitz,2019-08-13 07:51,0,1,Brent Crude Oil | $ BCOUSD | $ BCO $ USD Oil W TF Long or short it on WCX: http:// wcex.com/trade/BCO-USD pic.twitter.com/tc956YR6nF,,,,1161228658142535687,https://twitter.com/trader_blitz/status/1161228658142535687
29,forexoilfort,2019-08-13 07:23,0,0,Industrial Internet to revolutionise upstream oil and gas sector https:// ift.tt/2YF9esC | #oil #crudeoil #brentoil #forex #fx #trading #trade #livetradenews #brent #wti #crude,,,#oil #crudeoil #brentoil #forex #fx #trading #trade #livetradenews #brent #wti #crude,1161221736668549120,https://twitter.com/forexoilfort/status/1161221736668549120
