date,retweets,favorites,polarity
17/08/2019 15:29,56,352,-0.7
17/08/2019 13:22,46,98,0.00714285714285715
17/08/2019 07:57,34,56,-0.2464285714285714
16/08/2019 09:55,146,231,-0.11666666666666665
16/08/2019 09:52,308,206,0.13106060606060607
16/08/2019 01:42,83,67,-0.35
15/08/2019 22:45,12,67,-0.2
15/08/2019 21:20,170,676,0.013333333333333336
15/08/2019 17:42,57,267,-0.35
15/08/2019 10:46,216,200,-0.2333333333333333
15/08/2019 06:50,31,113,-0.16249999999999998
14/08/2019 18:55,74,132,0.07222222222222226
14/08/2019 17:03,111,250,-0.7
14/08/2019 13:36,824,1880,-0.875
14/08/2019 13:05,592,1612,0.06000000000000001
13/08/2019 06:14,7,55,-0.09999999999999998
12/08/2019 23:45,170,277,-0.21875
