,date,retweets,favorites,polarity,Open,Close,variation %
0,2018-12-28,81,222,0.5,13.010000228881836,13.029999732971193,0.1537240871445867
1,2018-12-28,38,51,0.16818181818181818,13.010000228881836,13.029999732971193,0.1537240871445867
2,2018-12-27,54,110,-0.35,12.5600004196167,12.800000190734865,1.9108261393313717
3,2018-12-26,32,53,-0.4333333333333333,12.0,12.720000267028807,6.000002225240058
4,2018-12-26,37,98,0.02,12.0,12.720000267028807,6.000002225240058
5,2018-12-26,693,1868,-0.10370370370370373,12.0,12.720000267028807,6.000002225240058
6,2018-12-26,36,41,-0.1,12.0,12.720000267028807,6.000002225240058
7,2018-12-24,46,67,-0.24999999999999994,12.279999732971193,12.100000381469727,-1.4657927965436126
8,2018-12-21,52,83,0.0,12.5,12.380000114440918,-0.9599990844726562
9,2018-12-20,78,56,-0.7,12.56999969482422,12.59000015258789,0.1591126352366215
10,2018-12-20,44,69,0.14069264069264067,12.56999969482422,12.59000015258789,0.1591126352366215
11,2018-12-10,33,45,0.09375,13.619999885559082,13.529999732971193,-0.6607940774163558
12,2018-11-30,49,59,-0.25999999999999995,14.369999885559082,14.5600004196167,1.3222027527540579
13,2018-11-30,391,1098,0.0,14.369999885559082,14.5600004196167,1.3222027527540579
14,2018-11-29,56,119,-0.35,14.289999961853027,14.329999923706055,0.27991575899094984
15,2018-11-23,94,95,0.0888888888888889,13.81999969482422,13.869999885559082,0.3617958888493121
16,2018-11-23,43,36,-0.4333333333333333,13.81999969482422,13.869999885559082,0.3617958888493121
17,2018-11-23,34,88,-0.2402777777777777,13.81999969482422,13.869999885559082,0.3617958888493121
18,2018-11-21,38,109,-0.28,14.329999923706055,14.369999885559082,0.2791344177668528
19,2018-11-20,47,252,0.13106060606060607,14.489999771118164,13.979999542236328,-3.5196703722410083
20,2018-11-16,38,118,-0.06499999999999999,14.729999542236328,14.859999656677244,0.8825534180646648
21,2018-11-13,664,2944,0.0,14.1899995803833,13.899999618530273,-2.0436925329718285
22,2018-11-13,32,58,-0.2261111111111111,14.1899995803833,13.899999618530273,-2.0436925329718285
23,2018-11-13,72,77,-0.1555555555555556,14.1899995803833,13.899999618530273,-2.0436925329718285
24,2018-11-09,47,100,-0.7,14.949999809265135,14.9399995803833,-0.06689116394260156
25,2018-11-05,156,187,-0.16,16.280000686645508,16.420000076293945,0.8599470745924419
26,2018-11-01,40,40,-0.042592592592592585,16.479999542236328,16.149999618530273,-2.002426777138574
27,2018-10-30,85,69,0.0,15.720000267028807,16.40999984741211,4.389310233222518
28,2018-10-29,45,73,0.1875,16.680000305175778,15.5600004196167,-6.714627488415239
29,2018-10-26,41,52,-0.6999999999999998,15.670000076293945,16.239999771118164,3.6375219658520086
30,2018-10-25,67,116,-0.06749999999999999,15.399999618530273,15.56999969482422,1.1038966266557046
31,2018-10-22,450,541,-0.2,15.850000381469727,16.040000915527347,1.1987415109450144
